Date,Open,High,Low,Close,Adj Close,Volume
10/23/18,53.9575,55.8125,53.674999,55.682499,53.328995,155071200
10/24/18,55.650002,56.057499,53.634998,53.772499,51.499725,163702000
10/25/18,54.427502,55.345001,54.1875,54.950001,52.627464,119423200
10/26/18,53.974998,55.047501,53.1675,54.075001,51.789455,189033600
10/29/18,54.797501,54.922501,51.522499,53.060001,50.817345,183742000
10/30/18,52.787498,53.794998,52.317501,53.325001,51.071144,146640000
10/31/18,54.220001,55.112499,54.154999,54.715,52.402397,153435600
11/1/18,54.762501,55.59,54.202499,55.555,53.206902,233292800
11/2/18,52.387501,53.412498,51.357498,51.869999,49.677647,365314800
11/5/18,51.075001,51.0975,49.5425,50.397499,48.267384,264654800
11/6/18,50.48,51.18,50.422501,50.942501,48.789341,127531600
11/7/18,51.4925,52.514999,51.032501,52.487499,50.269039,133697600
11/8/18,52.494999,52.529999,51.6875,52.122501,50.093655,101450400
11/9/18,51.387501,51.502499,50.5625,51.1175,49.127773,137463200
11/12/18,49.75,49.962502,48.447498,48.5425,46.652996,204542000
11/13/18,47.907501,49.294998,47.862499,48.057499,46.186878,187531600
11/14/18,48.474998,48.619999,46.482498,46.700001,44.882225,243204000
11/15/18,47.0975,47.9925,46.724998,47.852501,45.989857,185915200
11/16/18,47.625,48.7425,47.365002,48.3825,46.499237,147713200
11/19/18,47.5,47.674999,46.247501,46.465,44.656368,167701200
11/20/18,44.592499,45.3675,43.877499,44.244999,42.522778,271300800
11/21/18,44.932499,45.067501,44.137501,44.195,42.474728,124496800
11/23/18,43.735001,44.150002,43.025002,43.072498,41.395916,94496000
11/26/18,43.560001,43.737499,42.564999,43.654999,41.95575,179994000
11/27/18,42.877499,43.692501,42.720001,43.560001,41.864441,165549600
11/28/18,44.182499,45.322498,43.732498,45.235001,43.474247,184250000
11/29/18,45.665001,45.700001,44.424999,44.887501,43.140274,167080000
11/30/18,45.072498,45.0825,44.2575,44.645,42.907204,158126000
12/3/18,46.115002,46.235001,45.302502,46.205002,44.40649,163210000
12/4/18,45.237499,45.5975,44.067501,44.172501,42.453102,165377200
12/6/18,42.939999,43.695,42.605,43.68,41.979778,172393600
12/7/18,43.372501,43.622501,42.075001,42.122501,40.482895,169126400
12/10/18,41.25,42.522499,40.8325,42.400002,40.749596,248104000
12/11/18,42.915001,42.947498,41.75,42.157501,40.516529,189126800
12/12/18,42.599998,42.98,42.255001,42.275002,40.629471,142510800
12/13/18,42.622501,43.142502,42.387501,42.737499,41.073959,127594400
